,titles,keys,cluster_num
18630,"Ford Focus ZETEC 1.0 125ps Ecoboost Petrol Engine. Alloy Wheels, Privacy Glass, Bluetooth, Air Conditioning, Heated Windscreen, (2015)","['technical', 'interior', 'previous_owners', 'fuel', 'dimension', 'exterior']",2
16939,1.5v Button Cell Battery AG13 LR44 A76 Coin Cells,"['package', 'port']",2
18634,05-13 Toyota Tacoma 4wd Rear Helper Bag Kit,"['availability', 'shipping', 'quantity']",2
14564,"Hallowell UESVP1788 Safety-View Plus Locker w/DigiTech Locks 12x12x12 16-Person Parchment, Assembled","['package_quantity', 'color_finish', 'assembly', 'color_family']",2
16938,MERCEDES-BENZ S CLASS,"['tyre_size_rear', 'space_saver', 'alloys', 'max_towing_weight-unbraked', 'tyre_size_front', 'fuel_tank_capacity_litres', 'tyre_size_spare', 'turning_circle-kerb_to_kerb', 'luggage_capacity_seats_up', 'no_of_seats', 'max_towing_weight-braked', 'height', 'max_roof_load', 'width']",2
16855,"DDJNR 164C-2, T-Max CoroTurn RC Rigid Clamp ToolHolder - Inch, 1"" Square shank","['hand', 'sub-brand']",2
14759,Samsung HT-H7750 W7.1Ch Blu-ray Home Entertainment System,['availability'],2
16255,COOLER MASTER USA RR-T612-20PK-R1 TPC 612 HEAT SINK INTEL LGA 2011/1366/1156/1155/775 FM1/AM3+,"['binding', 'productgroup']",2
18627,"Laptop Dell XPS 15 9530, i7-4712HQ, 2.30 GHz, HDD: 256 GB, RAM: 16 GB, video: Intel HD Graphics 4600, nVIDIA GeForce GT 750M, webcam, BT","['webcam', 'usb_30', 'usb_20', 'hdmi']",2
18435,"Tilt Trim Motor - Outboard Volvo Penta - Volvo-Penta 850834, 850834-3",['voltage'],2
14760,"Belt, 48in, Roof, Exh, 28150 CFM, 3PH, 3HP, TE","['phase', 'assembledunassembled']",2
14763,6-3/4 in. Long Side Cutting Long-Nose Pliers With Spring and Rubber Grip,"['handle_material', 'individualset', 'tools_product_type', 'shape']",2
16853,Peugeot 3008 2.0 Hdi 163 Exclusive 5Dr Auto Diesel Estate (2010),"['interior', 'previous_owners', 'fuel', 'exterior']",2
16943,Casio G-Shock X-Large Ana-Digital Watch - White (GA100A-7ACR),"['free_shipping', 'ships_to', 'location']",2
14556,"Sony VAIO SVD11213CXB 11.6"" Ultrabook/Tablet - Wi-Fi - Intel Core i5 i5-3317U 1.70 GHz - LED Backlight - Black",['warranty'],2
16849,"EM-CPL-507Q3 - Li-Ion, 3.6 Volt, 720 mAh, Ultra Hi-Capacity Battery - Replacement Battery for Uniden BT-0001 Cordless Phone Battery","['chemistry', 'voltage']",2
16850,"Generic Brand (HP 640A) Remanufactured Cyan, Standard Yield (Made In USA) Toner Cartridge - Premium Compatibles (MADE IN USA)","['type', 'color']",2
14766,2016 Nissan Versa Note SV | Bluetooth | Backup CAM | Heated Seats Hatchback,"['engine_displacement', 'compression_ratio', 'front_legroom', 'turning_radius', 'rear_legroom', 'engine_torque', 'interior_colour', 'interior_cargo_volume', 'engine', 'engine_horsepower', 'rear_shoulder_room', 'drive_line', 'front_shoulder_room']",2
18642,MINI One touch Fully automatic LCD portable espresso coffee machine & coffee grinder 19 bar cappuccino/latte maker,['unit_type'],2
16251,Tripp Lite - Patch cable - SC multi-mode (M) - SC multi-mode (M) - 6.6 ft - fiber optic - 50 / 125 micron - ( IEEE 802.3ae ) - aqua blue (N806-02M),"['technology', 'cable_type', 'product_color', 'specifications']",2
18641,"3M Scotch-Brite Surface Preparation Pad, 14 in x 32 in, Black/Gray, 10/Carton (3M MCO 02499) - New & Original","['manufacturer', 'colors']",2
18640,Post-it Extra Thick Durable Tab - Blank - 50 / Pack - Red Tab (686F50RD),"['assembly_required', 'packaged_quantity', 'colors', 'quantity', 'manufacturer']",2
16851,2.45mm HSS 118° Black Oxide Finish Jobber Drill,"['finish', 'type', 'point', 'number_of_flutes', 'shank_type', 'taa_compliant']",2
14559,2015 Chevrolet Suburban LTZ 1500,['input'],2
14765,Factory Reconditioned Dewalt DCD790D2R 20V MAX XR Cordless Lithium-Ion 1/2 in. Brushless Compact Drill Driver Kit,"['cordless', 'batteries_included', 'battery_type', 'series', 'power_type', 'handle_style', 'chuck_size']",2
16944,Tamron SP Di VC USD 24-70mm f/2.8 Standard Zoom Lens for Nikon - Black,"['maximum_aperture', 'color']",2
16252,ASUS M2N - ATX - nForce 430 - Socket AM2 - Motherboard,['form_factor'],2
18638,Apple iPad Pro 12.9-inch Wi-Fi Cell 256GB Space Gray (Apple Sim),"['touchscreen', 'technology', 'humidity_range_operating', 'colour', 'product_type', 'included_accessories']",2
14560,Audemars Piguet Royal Oak Power Reserve Men's Watch 26120OR.OO.D002CR.01,"['price', 'case_size', 'crystal', 'crown', 'hands', 'luminiscence', 'band_type', 'movement']",2
18645,Lenovo X510 Intel Core i7-4770K 16GB 2TB Windows 8,"['monitor_type', 'form_factor', 'power', 'interface', 'device_type', 'technology', 'interface_type', 'humidity_range_operating', 'colour', 'spindle_speed', 'processor_socket', 'memory_specification_compliance', 'number_of_cores', 'compliant_standards']",2
16846,allen + roth 30-in x 36-in Silver Leaf Beveled Rectangle Framed Contemporary Wall Mirror,"['type', 'shape', 'colorfinish_family']",2
18666,2003 Volvo C70 2.3L Turbo,"['drive_train', 'brakes', 'epa_classification', 'drivetrain', 'interior', 'suspension', 'air_conditioning', 'steering', 'fuel', 'width', 'seating', 'min_ground_clearance_in', 'center_console', 'rear_door_type', 'transmission']",2
18653,30W Equivalent Soft White MR16 Non-Dimmable Flood LED Light Bulb,"['color_temperature', 'bulb_type', 'light_color', 'indooroutdoor', 'bulb_shape', 'color_rendering_index', 'number_in_package']",2
18701,2016 Lotus Exige Sport 111 Sport 350 Roadster 2dr Man 6sp 3.5SC [MY16],"['rim_size_rear', 'rim_size_front', 'fuel_capacity', 'transmission', 'tyre_front_size', 'fuel_extra_urban', 'cylinders', 'fuel_delivery', 'release_date', 'fuel_type', 'ron']",2
18700,"Dell PowerEdge T330, Xeon E3-1220V5 3GHz, 8GB, 1TB, No OS","['monitor_type', 'max_turbo_speed', 'interface_type', 'data_link_protocol', 'features', 'humidity_range_operating', 'server_scalability', 'colour', 'built-in_devices', 'spindle_speed', 'form_factor', 'networking', 'device_type', 'number_of_cores', 'video_memory']",2
18699,DEFECTIVE Apple iPhone 6S 16gb Rose Gold - T-Mobile Smartphone 7313721,"['color', 'model', 'original_carrier', 'carrier']",2
14504,HP Quadro 500M Graphic Card - 560 MHz Core - 1 GB DDR3 SDRAM - MXM 3.0,"['platform_supported', 'physical_characteristics']",2
18698,Epson Stylus Color Printer - New & Original,['type'],2
18697,8 ft. Traditional Non-Retractable Door Canopy (50 in. Projection) in Ebony,"['frame_material', 'mounting_type', 'assembly_required', 'mounting_space_required_in', 'color', 'outdoor_living_product_type', 'color_family', 'commercial_residential', 'minimum_clearance_requirement_in', 'water_resistant']",2
18405,2015 NISSAN Armada,"['interior_color', 'fuel_type', 'location', 'model', 'exterior_color']",2
16378,"Collet Chuck, ER32, HSK50A, 2.950 in. Proj","['dimension_type', 'coolant_through', 'item']",2
14795,"WIDIA GTD 19131 Hand Tap, Plug, 5/16 Inx24, TiCN","['number_of_flutes', 'flutes', 'pitch', 'thread_type', 'ships_to', 'location', 'thread_direction', 'numberofitems', 'number_of_pieces']",2
14794,40% OFF Kingspec 2.5 Inch SATA III 6GB/S SATA II SSD 8GB 16GB 32GB 64GB 128GB 256GB Solid State Drive disk Internal Hard Drives,['unit_type'],2
18693,Details about White house black market WHBm size M Medium sweater dress euc 3/4 length sleeve,"['size_type', 'sleeve_style', 'occasion', 'size_womens', 'color']",2
18406,Panasonic Toughbook CF-AX3 Ultrabook (CF-AX3EDCZM4),"['availability', 'product_type', 'memory_type', 'touch_screen']",2
14793,2010 Mercedes-Benz GL-Class 3.00 GL350 BlueTEC ~ DIESEL ~ EXTRA CLEAN ~ ALL POWER O - Toronto,"['status', 'transmission', 'automatic']",2
18407,Intel 600p Series 256GB M.2 80mm SSD (SSDPEKKW256G7X1),['date_first_available'],2
14509,CROUSE HINDS TP467 - 4 SQUARE CONDUIT OUTLET BOX WELDED 3/4 KO,['package_quantity'],2
14791,2013 Chevrolet Cruze 1.40 LT Turbo - Toronto,"['white', 'status', 'transmission', 'automatic']",2
14790,Hilitchi 200pcs M2 M2.5 M3 M4 M5 Phillips Pan Head Screws Nuts w Washers Assortment Kit - 304 Stainless Steel,"['measurement_system', 'date_first_available', 'batteries_included']",2
14510,Wyse Xenith Pro 2 D00DX Zero Client - AMD G-Series T48E Dual-core (2 Core) 1.40 GHz,"['availability', 'package_quantity', 'hardware_platform']",2
14789,Sonoma Gray Wave Decor 8 in. x 12 in. Ceramic Wall Tile (16.15 sq. ft. / case),"['product_thickness_mm', 'tile_material', 'tile_finish', 'number_of_tiles_per_case', 'commercial_residential', 'suggested_grout_line_size', 'style_type', 'color_family', 'tile_features', 'colorfinish', 'flooring_product_type']",2
16826,Details about acer aspire V15 Nitro VN7-592,"['product_line', 'storage_type', 'operating_system_edition', 'type', 'operating_system', 'processor_type', 'release_year', 'graphics_processing_type', 'color']",2
18691,Dryer Burner and Gas Valve Assembly Part #: WP8557891,['category'],2
18690,"TP-LINK TL-ANT2409A 2.4GHz 9dBi Directional Antenna,802.11n/b/g, RP-SMA Male connector, 1m/3ft cable Item # 160582",['usb'],2
18689,Taylor 200 Series 210e Deluxe Dreadnought Acoustic-electric Guitar Natural,['platform'],2
14511,Details about ORICO Bluetooth 4.0 Adapter Dongle Support Windows8/7/ Vista / XP Red and Blcak,['interface'],2
16374,Vauxhall Mokka Tech Line 1.7CDTi (130PS) SS 4X4 (2013),"['technical', 'interior', 'previous_owners', 'fuel', 'dimension', 'exterior']",2
16242,Replacement for CHICONY Laptop Battery (12 V 48 Wh Black 4000 mAh 6 cell Ni-MH),"['cell_material', 'rate', 'colour', 'no_of_cell']",2
14512,2009 Toyota Camry Hybrid Base Sedan Front-wheel Drive,"['front_seats', 'front_hiproom', 'wireless_phone_connectivity', 'engine_displacement', 'max_seating_capacity', 'automatic_temperature_control', 'number_of_valves', 'navigation_system', 'drive_type']",2
14786,30 in. Gas Cooktop in Stainless Steel5 Burners including Dual Ring Brass Power Burner,"['number_of_burners', 'certifications_and_listings', 'appliance_type', 'returnable', 'ignition_type', 'colorfinish', 'fuel_type', 'colorfinish_family']",2
18410,eReplacements Compatible 9 cell (7800 mAh) battery for HP Probook 4320s;4321s; 4325s 4326s; 4420s; 4520s Item # 421792,"['battery_type', 'applicationusage', 'rechargeable']",2
18404,HF-Ri TD 2 14/21/24/39 TL5 E+ 195-240V,"['minimum_order', 'pieces_per_pack', 'packing_configuration', 'standard_packaging', 'packs_per_outerbox', 'family']",2
16372,5in Micro USB to USB OTG Host Adapter M/F,"['package_quantity', 'connector_plating', 'warranty', 'color']",2
18702,BRAND NEW (SEALED) Apple iPhone 7 Gold 32GB (U.S. Cellular) 1 Year Warranty Item: 252585858178,"['camera_resolution', 'contract', 'model', 'lock_status', 'operating_system', 'color']",2
18704,Pre-Owned 2011 Chevrolet Cruze LTZ Sedan in Tampa FL,"['engine_displacement', 'air_pollution_score_ap', 'model', 'front_legroom', 'year', 'turning_radius', 'doors', 'exterior_height', 'fuel_type', 'greenhouse_gas_score_gg', 'front_hiproom', 'exterior_body_width', 'rear_shoulder_room', 'drive_line', 'wheelbase', 'specs_and_dimensionscompression_ratio', 'front_headroom', 'transmission']",2
18718,"[Upgraded Version] FM Transmitter, Pictek Bluetooth MP3 Player USB Car Charger Hands-Free Calling Wireless Radio Car Kit with 3.5mm Audio Port, TF Card Slot, 1.44 Inches Screen For iPhone HUAWEI ect.",['colour'],2
14490,"APPLE MacBook Pro 15"" A1321 A1286 AE1321PL battery",['color'],2
18717,"1 1/8"" Williams 1/2"" Dr Deep Impact Socket 6 Pt - 14-636","['points', 'finish', 'type', 'scale']",2
18395,Bytecc Category 6 Network Cable - 20 ft - Patch Cable - Red,"['connector_on_second_end', 'corecladding_diameter', 'connector_on_first_end', 'fiber_optic_mode', 'product_type', 'package_type', 'cable_type']",2
14806,"HP 15-ac161nr, 15.6"" HD Brightview, Intel® Pentium® 3825U Processor, 750GB, 8GB, Notebook, Windows 10, Silver","['hard_drive_type', 'color_family', 'processor_type']",2
18716,Cygnett UrbanShield Tech Case for iPhone 6s & 6 - Black,"['http', 'product_type']",2
14804,"Quartet Enclosed Bulletin Board, Fabric Covered Cork, 48 x 36, Gray, Aluminum Frame","['carton_pack_quantity', 'frame_material']",2
14493,Schneider Electric / Square D PJC8311 Electric Joint Compound; For Specially Formulated SED Drawout Circuit Breakers,"['mfrvendor', 'select_code', 'eu_rohs_indicator']",2
14494,2017 Lexus NX NX200t AGZ15R NX200t Sports Luxury Wagon 5dr Spts Auto 6sp AWD 2.0T,"['wheel_base', 'rim_size_rear', 'rim_size_front', 'height', 'fuel_capacity', 'fuel_urban', 'fuel_consumption', 'tyre_front_size', 'fuel_extra_urban', 'engine', 'ron', '0-100_kmh', 'cylinders', 'tyre_rear_size', 'fuel_delivery', 'width', 'max_torque', 'release_date', 'length', 'fuel_type', 'transmission', 'fuel_combined']",2
16818,User manual Hasselblad H4D-40 Black Limited Edition Medium H-70380534-B,['remote_control'],2
18397,"Westcott Titanium Bonded Scissors, Straight-Handle, Pointed Tip, 8-Inch, Gray/Yellow, 2-pack (13901)",['tip_type'],2
18714,"2003 Hyundai Santa Fe 2.70 GLS integrale - SAGUENAY, secteur JonquiÃ¨re","['status', 'transmission', 'automatic']",2
16819,Rand McNally TND Tablet 80 8-Inch Truck GPS with optional Backup Camera (Lifetime map updates included),"['built-in_speakers', 'touch_screen']",2
14801,"Dell Refurbished Dell Precision M3510 Intel Core i7-6820HQ X4 2.7GHz 16GB 512GB SSD, Black (Certified Refurbished)","['operating_system', 'color', 'battery_type', 'memory_type', 'hdmi_ports', 'touch_screen', '3d_ready', 'display_type']",2
18713,Jaguar XE 3.0L S (A) Authorised Dealer,"['seating_capacity', 'ground_clearance', 'top_speed', 'type', 'boot_capacity']",2
18398,"PARLEC B40-02JT1 BT40 to JT2 Jacobs Taper Adapter 0.0002"" TIR 1.18"" Proj B6","['ships_to', 'location', 'free_shipping']",2
18399,"Allied Machine & Engineering 7C122P-22LR AM300 Coating C1 Carbide (K35) GEN3SYS XT Drill Insert, Series 22, Low Rake Geometry, 22 mm Diameter","['package_weight', 'package_dimensions']",2
18711,"ASUS VH242H 24"" Widescreen LCD Monitor - 1080p, 1920x1080, 20000:1 Dynamic, 16:9, VGA, DVI, HDMI. Black","['features', 'brightness', 'response_time', 'hdmi', 'contrast_ratio', 'cabinet_color']",2
16957,Mobile Edge SUMO-IPADSG1 Tablet PC Case - Sleeve - Neoprene - Black,['color'],2
18710,Sony Alpha A6000 Wi-Fi Digital Camera & 16-50mm Lens (Graphite) with 64GB Card + Case + Battery/Charger + Tripod + Tele/Wide Lens Kit,"['monitor_type', 'viewfinder', 'sensor_type', 'self-timer', 'flash_control', 'lens_mount', 'flash_sync_terminal', 'effective_pixels', 'image_stabilization', 'nfc', 'total_pixels', 'power_source', 'image_formats', 'wi-fi', 'flash_compensation', 'camera_type', 'flash', 'live_view', 'monitor_resolution']",2
16380,ShowerCast 60 in. x 30 in. Right Drain Single Threshold Shower Base in White,"['drain_location', 'certifications_and_listings', 'colorfinish', 'color_family', 'type', 'installation_hardware_included', 'drain_included', 'shape']",2
14500,"Proctor Silex Professional-Style Electric Deep Fryer 1.5-Liter, Stainless Steel (35041)","['productgroup', 'binding', 'producttypename', 'color']",2
18401,"Proto - 1"" Drive 1-1/8"" 6-Point Deep Length Impact Socket - J10018L",['drive_size'],2
18708,"Sp Flute Tap, Mod Bttm, M8x1.00, S/O, 3 Flt","['number_of_pieces', 'item', 'standards', 'thread_direction']",2
18707,Lenovo Storage S2200 6411 - hard drive array,"['built-in_devices', 'power_redundancy', 'device_type', 'power', 'enclosure_type', 'hard_drive']",2
18705,"Apple MacBook Pro 13.3"" LCD 16:10 Notebook - 1280 x 800 - Intel Core i5 Dual-core (2 Core) 2.50 GHz - 4 GB DDR3 SDRAM - 500 GB HDD - Mac OS X 10.8 Mountain Lion - Silver","['graphics_controller_model', 'product_type', 'webcam', 'backlight_technology', 'bluetooth', 'optical_drive_type', 'product_family', 'processor_type']",2
18403,Paragon Series 35 in. x 82 in. Framed Continuous Hinged Shower Door in Chrome with Clear Glass,"['handle_finish', 'certifications_and_listings', 'type', 'framehardware_finish_family', 'handle_style', 'door_type', 'frame_type']",2
14502,ASUS RT-AC51U Dual-band (2.4 GHz / 5 GHz) Fast Ethernet Black,"['colour_of_product', 'manual', 'ethernet_lan']",2
14796,"""Homeward Bound: The Incredible Journey"" and ""Homeward Bound: Lost In San Francisco"" 2-Disc DVD Set",['number_of_discs'],2
16824,Aisha Bay Leaf 8 ft. x 10 ft. Kidney Area Rug,"['construction', 'backing_material', 'cleaning_instructions', 'rug_weave', 'rug_material', 'approximate_rug_size', 'color_family', 'features', 'area_rug_pattern', 'area_rug_style', 'flooring_product_type']",2
14514,Inverness Drop-In Acrylic 25 in. 1-Hole Single Basin Kitchen Sink 1H Timberline,"['number_of_basins', 'kitchen_product_type', 'certifications_and_listings', 'minimum_cabinet_size_in', 'sink_shape', 'sink_finish_type', 'type', 'included', 'color_family', 'mount_type', 'features', 'number_of_faucet_holes', 'package_type', 'sink_material']",2
14515,"GE LIGHTING 26W, T3 Screw-In Fluorescent Light Bulb",['voltage'],2
18685,MERCEDES-BENZ V CLASS,"['wheel_style', 'alloys', 'max_towing_weight-unbraked', 'tyre_size_rear', 'space_saver', 'width', 'tyre_size_front', 'max_towing_weight-braked', 'fuel_tank_capacity_litres', 'tyre_size_spare']",2
14532,Magtek 21040147 Usb Keyboard Emulation Msr Rdr Dual-head 3 Track White Mini 6ft,"['usb', 'product_type', 'color']",2
14776,"Panasonic TX P50V20B - 50"" VIERA plasma TV - widescreen - 1080p (FullHD) - 600 Hz - HDTV 1080p","['aspect_ratio', 'hdmi_inputs']",2
16839,2004 Chevrolet Silverado 2500HD LT - Edmonton,"['white', 'status', 'transmission', 'automatic']",2
18419,"Office Depot® Brand File Folders, Letter, 1/3 Cut, Blue, Box Of 100 Item # 1376335","['color', 'sheet_size', 'total_recycled_content', 'postconsumer_recycled_content', 'tab_position', 'tab_cut', 'quantity', 'eco-conscious']",2
16952,Cowboystudio Full Spectrum Light Bulb- Four 45W Photography Photo CFL 5500K - Daylight balanced pure white light,['new'],2
16245,"Office Depot® Brand Index Cards, Grid, 3' x 5 1/4', White, Pack Of 100 Item # 1210861","['acid_free', 'quantity', 'color']",2
14534,Emporio Armani Men's Watch AR2448 723763153713,"['productgroup', 'binding', 'numberofitems']",2
14535,2016 Nissan Altima 2.5 S Sedan,"['wireless_phone_connectivity', 'recommended_fuel', '1st_row_lcd_monitors', 'exterior_length', 'engine_displacement', 'front_legroom', 'rear_headroom', 'rear_legroom', 'turning_radius', 'exterior_height', 'interior_color', 'cargo', 'location', 'cylinder_configuration', 'exterior_color', 'interior_cargo_volume', 'wheelbase', 'rear_tires', 'passenger_volume', 'door_mirrors', 'rear_hiproom', 'exterior_body_width', 'engine_horsepower', 'rear_shoulder_room', 'interior_maximum_cargo_volume', 'engine_torque', 'front_tires', 'specs_and_dimensionscompression_ratio', 'front_headroom', 'gvwr', 'front_hiproom', 'front_shoulder_room']",2
18662,Series 933 Chucking Reamer Straight Flute HSS Intermediate Size 0.4940,['lead_time'],2
18661,Toyota Corolla Altis,"['cruise_control', 'multi-function_steering_wheel']",2
16357,ISCAR Chamdrill ICP 0323 ICP 082 IC908 Drilling Insert 2 Pack,"['ships_to', 'free_shipping']",2
16356,SAND TPMT 3(2.5)2-MM 2025 COROTURN 111 INSERT 5755132,"['coating', 'standard_pack', 'grade', 'application_condition', 'shape', 'iso_mc', 'edges', 'chip_breaker', 'thickness', 'corner_radius', 'application_material_classification', 'mounting_style', 'conventional_or_wiper']",2
16950,Rubbermaid Glass & Tile Cleaning Kit (W)11.8cm,['durability'],2
14773,BMW Z4,"['tyre_size_rear', 'space_saver', 'alloys', 'tyre_size_front', 'gross_vehicle_weight', 'turning_circle-kerb_to_kerb', 'no_of_seats', 'fuel_tank_capacity_litres', 'max_loading_weight', 'wheelbase', 'width']",2
14537,HONDA CR-V with 51193kms. Located in Western NSW,"['fuel_consumption', 'engine', 'model', '0-100_kmh', 'release_date', 'fuel_type']",2
16949,OEM Okidata 43459404 cartridge - black,"['color', 'shelf_life']",2
18657,ION 161 Hypersilver/Machined Face 17X7 5-100/5-114.3 40mm 72.62mm,"['availability', 'offset', 'hub', 'quantity', 'shipping', 'bolt_pattern']",2
16948,"Samsung 55"" Class (54.6"" Diag.) 4K Ultra HD Smart LED LCD TV UN55KU630DFXZA","['overall', 'energy_star_compliant', 'value', 'speakers', 'quality', 'screen_type', 'features', 'display_type']",2
18656,Schneider Electric / Square D AHPALI Padlockable On/Off Locking Handle Attachment; For Use On 690 Model LC/LC/LI/LX/LXI Series 2 and 3 Pole Circuit Breaker,"['mfrvendor', 'select_code', 'commodity_code', 'eu_rohs_indicator']",2
14772,2017 BMW X3 xDrive28i - Mississauga,"['status', 'transmission', 'automatic', 'black']",2
14541,Swingline SX16-08 Light-Duty Cross-Cut Shredder,['colors'],2
18426,Superb Choice? 12-cell SONY VAIO VGN-FS35GP VGN-FS35TP VGN-FS38C VGN-FS38GP VGN-FS3B VGN-FS415E VGN-FS415M Laptop Battery by Superb Choice,['type'],2
16841,"AUDI A3 2.0 TDI 170 QUATTRO S-LINE ( 18 INCH ALLOYS , LEATHER & SAT NAV ) 2011 (2011)","['technical', 'interior', 'previous_owners', 'fuel', 'exterior']",2
16842,F600 Meade Infinity 102mm Altazimuth Refractor Telescope For Explore The Universe Blue W2527L,['quantity'],2
14542,Playmobil - Porsche 911 Carrera S,['product_dimensions'],2
16352,"3L420 BANDO Duraflex V-Belt, 3/8"" Width, 42"" Length",['shipping'],2
16247,"Blue Sky™ Fashion Monthly Planner, 8' x 10', 50% Recycled, Dabney Lee Grasshopper, January to December 2017 OfficeMax # 25370786","['cover_material', 'refillable', 'total_recycled_content', 'calendar_term', 'page_format', 'binding_type', 'eco-conscious', 'cover_color', 'postconsumer_recycled_content', 'theme', 'dated_format', 'calendar_type']",2
14543,Sony Alpha a6000 Mirrorless Digital Camera with 16-50mm Lens (Black),"['diaphragm_blades', 'image_stabilization']",2
14544,Nissan Nv200,"['colour', 'year', 'transmission', 'fuel']",2
18665,Portable Multifunctional Mini Amplifier For Car Lepy LP - 2024A+ Portable Wireless 2CH 12V HiFi Audio Amplifier with 3.5mm Plug,"['bluetooth_version', 'color', 'unit_type']",2
14530,3M General Purpose Masking Tape by 3M,"['shipping_weight', 'color']",2
18418,"LG 29uc88 29"" UltraWide Curved Monitor FHD IPS W FreeSync 2560x1080","['response_time', 'aspect_ratio', 'contrast_ratio']",2
18667,Dennis Basso Striped Sleeveless Knit Dress with Belt,"['fit', 'care', 'fabrication']",2
16954,"ASUS ZenBook UX303UA 13.3-Inch FHD Touchscreen Laptop, Intel Core i5, 8 GB RAM, 256 GB SSD, Windows 10 (64 bit)","['hardware_platform', 'batteries', 'processor_count', 'operating_system', 'battery_type', 'flash_memory_size', 'optical_drive_type', 'hard_drive_interface', 'wireless_type', 'card_description', 'number_of_usb_30_ports', 'power_source', 'average_battery_life_in_hours', 'computer_memory_type']",2
14783,"Igus® CF9-60-04 Chainflex® CF9 Control Cable, 10 Gauge, 300V Max., TPE, 0.49"" OD",['color'],2
