,titles,keys,cluster_num
7835,Dodge Challenger Prices & Deals - Washington,"['transmissions_available', 'drive_wheels', 'seating']",-1
194,1997 DODGE PICKUP CHROME/CLEAR EURO BUMPER AND CORNER LIGHTS - TYC - LEFT DRIVER,['year'],-1
1182,Gretsch G6134TDC-LTD15 Penguin in Broadway Jade Metallic Double Cutaway Limited Edition,"['neck', 'product_specscondition', 'year']",-1
1282,Willys United Nations Jeep 1:43 Scale Diecast Model Truck by Greenlight,"['year', 'scale']",-1
842,IPS231P-BN,"['aspect_ratio', 'year']",-1
5395,New DAF LF250 16t FA Trucks for sale,['year'],-1
5136,1 oz Gold Bar - Perth Mint Oriana Design (In Assay),"['diameter', 'year', 'purity']",-1
3276,New MAN TGM 18.340 4x4 Trucks for sale,"['year', 'drive']",-1
3212,My Little Pony Rainbow Rocks Lyra Heartstrings Equestria Girls doll,['year'],-1
3120,Leatt Body Protector 5.5 - black,['year'],-1
4046,Frank Riethmuller Eric Timewell NEW Free Shipping,"['year', 'format']",-1
4028,New 2016 Toyota 4Runner Limited,"['trim', 'year', 'vehicle_type']",-1
7457,Toyota MR2,"['doors', 'owners']",-1
10170,Maserati Quattroporte,"['doors', 'owners']",-1
11284,Nissan Stagea,"['doors', 'owners', 'mileage']",-1
10898,SEAT Leon,"['doors', 'owners', 'engine_size']",-1
10939,Mini Works Cooper,"['doors', 'owners', 'engine_size', 'mileage']",-1
8705,Vango Nova 200 Tent,"['doors', 'bedrooms']",-1
437,Breitling Starliner Steel 18K Yellow Gold MOP Dial Ladies Watch B71340,['year'],-1
9456,Toyota Celica,"['doors', 'owners']",-1
2460,"Geologic map of the Eugene Mountains, northwestern Nevada [COMPLETE DIGITAL PRODUCT WITH GIS]",['year'],-1
2628,Plush Toy 16'' Big Hero 6 Baymax Mech Stuffed Doll Orange Kids Gift Collcetible,['year'],-1
10643,"1991 ToyBiz Electronic Talking Spider-Man Action Figure, Brand New! Item: #381655910641",['year'],-1
10138,Religious Calendar Manufacturer from India,['year'],-1
11279,Batman Returns - SNES Super Nintendo,['year'],-1
11374,2018 BMW K 1600 GTL Thunder Grey Metallic,"['year', 'mileage']",-1
11384,iPod Touch 16GB gen 4 near mint,"['listing_type', 'year', 'views']",-1
11101,CF-435,['year'],-1
10856,Details about 2010 Tesla Roadster,['year'],-1
10822,Pembrokeshire 1861 Census,['year'],-1
11010,Willerby Solara Gold,['year'],-1
9126,Masters of Horror: Imprint WSE DD5.1/DDS,['year'],-1
9181,Bayliner 5788 Pilothouse,['year'],-1
8605,Denison Yacht Sales,['year'],-1
